,storenum,storename,city,zipcode,longitude,latitude,orgname
19,6064.0,RITE AID - 621,ROCHESTER,14609,-77.57895400000001,43.168956,RITE AID OF NEW YORK INC
20,5891.0,RITE AID - 623,ROCHESTER,14615,-77.664898,43.205452,RITE AID OF NEW YORK INC
21,5664.0,RITE AID - 629,ROCHESTER,14621,-77.613022,43.177102000000005,RITE AID OF NEW YORK INC
22,5533.0,TARGET,ROCHESTER,14624,-77.74679499999999,43.104251,TARGET CORPORATION AND SUBSIDIARIES
23,5131.0,TARGET,ROCHESTER,14623,-77.632423,43.077940999999996,TARGET CORPORATION AND SUBSIDIARIES
24,4140.0,TARGET,IRONDEQUOIT,14622,-77.574425,43.197505,TARGET CORPORATION AND SUBSIDIARIES
25,5051.0,TARGET,WEBSTER,14580,-77.450737,43.210961,TARGET CORPORATION AND SUBSIDIARIES
26,4795.0,WALGREENS - 10382,NORTH CHILI,14514,-77.804726,43.120696,WALGREEN CO
27,4796.0,WALGREENS - 10511,HENRIETTA,14467,-77.609199,43.067954,WALGREEN CO.
28,4797.0,WALGREENS - 10512,ROCHESTER,14621,-77.599618,43.196692999999996,WALGREEN CO
29,4799.0,WALGREENS - 11377,FAIRPORT,14450,-77.443065,43.069094,WALGREEN CO
30,4801.0,WALGREENS - 9584,ROCHESTER,14620,-77.593418,43.126233,WALGREEN CO
31,4802.0,WALGREENS - 9585,ROCHESTER,14606,-77.70057299999999,43.170133,WALGREEN CO
32,4803.0,WALGREENS - 9758,IRONDEQUOIT,14622,-77.56121,43.204132,WALGREEN CO
33,4804.0,WALGREENS - 9872,WEBSTER,14580,-77.445847,43.209693,WALGREEN CO
34,4800.0,WALGREENS - 9992,ROCHESTER,14625,-77.492037,43.132312,WALGREEN CO
35,3696.0,WAL-MART - 1610,GREECE,14626,-77.724197,43.214602,WAL-MART STORES EAST LP
36,5128.0,WAL-MART - 1744,WEBSTER,14580,-77.498147,43.190428999999995,WAL-MART STORES EAST LP
37,5127.0,WAL-MART SUPERCENTER - 1619,ROCHESTER,14623,-77.622726,43.080642,WAL-MART STORES EAST LP
38,5126.0,WAL-MART SUPERCENTER - 2859,ROCHESTER,14624,-77.689,43.133774,WAL-MART STORES EAST LP
39,4997.0,WAL-MART SUPERCENTER - 3280,ROCHESTER,14621,-77.59679100000001,43.194303000000005,WAL-MART STORES EAST LP
40,2633.0,WEGMANS,ROCHESTER,14618,-77.543403,43.106546,"WEGMANS FOOD MARKETS, INC"
41,2673.0,WEGMANS,ROCHESTER,14623,-77.612083,43.067014,"WEGMANS FOOD MARKETS, INC"
42,2696.0,WEGMANS,ROCHESTER,14624,-77.74414200000001,43.104348,"WEGMANS FOOD MARKETS, INC"
43,2626.0,WEGMANS,ROCHESTER,14626,-77.703677,43.208098,"WEGMANS FOOD MARKETS, INC"
44,2532.0,WEGMANS,ROCHESTER,14623,-77.62747399999999,43.083465000000004,"WEGMANS FOOD MARKETS, INC"
45,2528.0,WEGMANS,WEBSTER,14580,-77.504719,43.193446,"WEGMANS FOOD MARKETS, INC"
46,2527.0,WEGMANS,ROCHESTER,14606,-77.68835200000001,43.163362,"WEGMANS FOOD MARKETS, INC"
47,2695.0,WEGMANS,ROCHESTER,14612,-77.69930500000001,43.250817,"WEGMANS FOOD MARKETS, INC"
48,2627.0,WEGMANS,ROCHESTER,14616,-77.645044,43.23748,"WEGMANS FOOD MARKETS, INC"
49,2561.0,WEGMANS,ROCHESTER,14616,-77.660618,43.226172,"WEGMANS FOOD MARKETS, INC"
50,2636.0,WEGMANS,ROCHESTER,14622,-77.558616,43.204905,"WEGMANS FOOD MARKETS, INC"
51,3825.0,WEGMANS,ROCHESTER,14617,-77.603239,43.207526,"WEGMANS FOOD MARKETS, INC"
